Store,Description,SalesDollars,CumulativeSales,CumulativePerc,Category
9,Capt Morgan Spiced Rum,10125.33,10125.33,2.4977573337007284,A
9,Tito's Handmade Vodka,8246.39,18371.72,4.532010153021812,A
9,Jack Daniels No 7 Black,7265.24,25636.96,6.324228924271329,A
9,Jameson Irish Whiskey,7146.12,32783.08,8.087062692405844,A
9,Absolut 80 Proof,6309.49,39092.57,9.643513190257412,A
9,Ketel One Vodka,5274.35,44366.92,10.944611168595346,A
9,Grey Goose Vodka,5081.03,49447.95,12.198020187881967,A
9,Smirnoff 80 Proof,5030.3,54478.25,13.438914925704317,A
9,Fireball Cinnamon Whisky,4224.67,58702.92,14.481073598554037,A
9,Jim Beam,3951.82,62654.74,15.455924530470845,A
9,Jagermeister Liqueur,3858.12,66512.86,16.40766116762711,A
9,Kahlua,3737.9,70250.76,17.329741449221878,A
9,Baileys Irish Cream,3624.61,73875.37,18.223874895668068,A
9,Bacardi Superior Rum,3449.38,77324.75,19.07478189738758,A
9,Bacardi Superior Rum Trav,3286.1,80610.85,19.88541032868552,A
9,Patron Silver Tequila,3183.2400000000002,83794.09000000001,20.67066483939574,A
9,Tanqueray,2821.46,86615.55000000002,21.36667399729413,A
9,Pinnacle Vodka,2818.7799999999997,89434.33000000002,22.062022041959235,A
9,Crown Royal,2444.14,91878.47000000002,22.664952377028936,A
9,Makers Mark,2419.51,94297.98000000001,23.261806884137567,A
9,Jose Cuervo Especial,2336.12,96634.1,23.838090408961442,A
9,Jack Daniels Tennessee Honey,2242.13,98876.23000000001,24.39118810065252,A
9,Platinum 7X Distilled Vodka,2114.61,100990.84000000001,24.912828643273542,A
9,Three Olives Vodka,2083.79,103074.63,25.42686638371185,A
9,Svedka Vodka,2078.51,105153.14,25.939601632406983,A
9,Stolichnaya,2045.05,107198.19,26.44408283304782,A
9,Dewars White Label,1970.1,109168.29000000001,26.930075064720643,A
9,Johnnie Walker Red Label,1952.9199999999998,111121.21,27.4118292645473,A
9,Canadian Club,1947.41,113068.62000000001,27.89222423530106,A
9,Bulleit 95 Rye,1819.29,114887.91,28.341014046559394,A
9,Clos du Bois Chard,1746.65,116634.56,28.771884728987363,A
9,New Amsterdam Vodka,1730.72,118365.28,29.198825734621995,A
9,Skyy Vodka,1699.24,120064.52,29.61800112660602,A
9,Knob Creek Bourbon,1695.2,121759.72,30.036179915059286,A
9,Smirnoff Traveler,1673.07,123432.79000000001,30.44889958565715,A
9,Bombay Sapphire Gin,1621.18,125053.97,30.848818821301712,A
9,Amaretto DiSaronno,1578.82,126632.79000000001,31.238288520915788,A
9,Bulleit Bourbon,1573.46,128206.25000000001,31.626435994063307,A
9,Cointreau Liqueur,1543.5,129749.75000000001,32.007192813304464,A
9,Zhenka 80 Proof,1478.52,131228.27000000002,32.37192010347903,A
9,Grand Marnier,1455.18,132683.45,32.73088978810705,A
9,Apothic Winemakers Red Blend,1378.62,134062.07,33.070973342459,A
9,Evan Williams Black Label B,1304.6299999999999,135366.7,33.39280474452353,A
9,Hornitos Plata Tequila,1275.93,136642.63,33.707556314574944,A
9,Gordons Vodka 80 Proof,1247.04,137889.67,34.01518118264524,A
9,Hornitos Reposado Tequila,1234.86,139124.53,34.3198014390807,A
9,Josh Cellars Cab Svgn Sonoma,1226.18,140350.71,34.622280478029275,A
9,Dr McGillicuddy's Mentholmnt,1200.09,141550.8,34.918323530315064,A
9,Southern Comfort,1181.1599999999999,142731.96,35.20969685368072,A
9,Stolichnaya Razberi,1169.46,143901.41999999998,35.49818397375183,A
9,MezzaCorona Pnt Grigio,1151.13,145052.55,35.78214937532817,A
9,Crown Royal Canadian Whisky,1147.59,146200.13999999998,36.06524151539487,A
9,Bowman's Vodka,1146.42,147346.56,36.348045035132124,A
9,Johnnie Walker Black Label,1144.7,148491.26,36.63042425831668,A
9,J Lohr Riverstone Chard,1128.96,149620.22,36.908920674675926,A
9,Sebastiani Znfdl Sonoma Cnty,1128.8700000000001,150749.09,37.18739488947136,A
9,Malibu Rum,1118.1699999999998,151867.26,37.46322958501454,A
9,Seagrams VO,1082.45,152949.71000000002,37.73025272656789,A
9,Jenkins Vodka,1079.59,154029.30000000002,37.99657035176035,A
9,Smirnoff Raspberry Vodka,1076.8899999999999,155106.19000000003,38.26222193003869,A
9,Jose Cuervo Especial Silver,1068.47,156174.66000000003,38.525796428681126,A
9,Kraken Black Spiced Rum,1043.45,157218.11000000004,38.78319889258601,A
9,Forefront Pine Ridge Znfdl,1031.1399999999999,158249.25000000006,39.037564675930575,A
9,Mark West Pnt Nr Sonoma,1002.99,159252.24000000005,39.284986303485276,A
9,Simi Chard,1000.0899999999999,160252.33000000005,39.531692547317405,A
9,Seagrams 7 Crown,991.39,161243.72000000006,39.7762526399818,A
9,R M Woodbridge Chard Cal,984.2,162227.92000000007,40.01903907438229,A
9,Cesari Recioto Valpolicella,959.76,163187.68000000008,40.25579655078974,A
9,Burnetts Vodka,951.57,164139.2500000001,40.49053368489101,A
9,Sailor Jerry Spiced Navy Rum,950.4,165089.65000000008,40.72498219866282,A
9,Absolut Citron,948.53,166038.18000000008,40.9589694132756,A
9,Black Velvet Canadian Whisky,935.28,166973.46000000008,41.18968806432831,A
9,Jack Daniels Tennessee Fire,931.76,167905.2200000001,41.419538387552244,A
9,Kendall Jackson Chard Vt RSV,929.25,168834.4700000001,41.648769533830084,A
9,The Glenlivet 12 Yr Single,890.7099999999999,169725.18000000008,41.8684934771189,A
9,Rumpleminze,884.18,170609.36000000007,42.08660657361171,A
