Store,Description,SalesDollars,CumulativeSales,CumulativePerc,Category
77,Capt Morgan Spiced Rum,6545.55,6545.55,2.8175433878136014,A
77,Jack Daniels No 7 Black,4604.87,11150.42,4.7997176925307325,A
77,Absolut 80 Proof,3785.17,14935.59,6.429050705837546,A
77,Ketel One Vodka,3306.24,18241.83,7.8522274672288495,A
77,Kahlua,3212.58,21454.410000000003,9.235088118636634,A
77,Dr McGillicuddy's Mentholmnt,3129.99,24584.4,10.582397760824485,A
77,Bacardi Superior Rum Trav,2750.44,27334.84,11.766329445034069,A
77,Baileys Irish Cream,2485.18,29820.02,12.836079500648433,A
77,Tito's Handmade Vodka,2358.0,32178.02,13.851084703949068,A
77,Jameson Irish Whiskey,2351.14,34529.16,14.863137008312199,A
77,Jose Cuervo Especial,1960.1,36489.26,15.7068654642026,A
77,New Amsterdam Vodka,1959.68,38448.94,16.550413130362138,A
77,Three Olives Vodka,1947.8999999999999,40396.840000000004,17.388890075022577,A
77,Jim Beam,1883.53,42280.37,18.19965884116882,A
77,Bacardi Superior Rum,1864.79,44145.16,19.00236094170444,A
77,Jagermeister Liqueur,1807.6,45952.76,19.780445507220225,A
77,Fireball Cinnamon Whisky,1789.0,47741.76,20.55052367036901,A
77,Smirnoff 80 Proof,1738.54,49480.3,21.298881238709253,A
77,Grey Goose Vodka,1607.35,51087.65,21.990767843257714,A
77,Smirnoff Traveler,1547.14,52634.79,22.65673694853106,A
77,Canadian Club,1518.6,54153.39,23.310420961140196,A
77,Southern Comfort,1501.1699999999998,55654.56,23.95660219991832,A
77,Crown Royal,1495.53,57150.09,24.60035569088193,A
77,Black Velvet Canadian Whisky,1493.85,58643.939999999995,25.24338602292207,A
77,Tanqueray,1448.46,60092.399999999994,25.866878150476282,A
77,Pinnacle Vodka,1428.09,61520.48999999999,26.48160197608341,A
77,Arrow Coffee Brandy,1336.35,62856.83999999999,27.056836159048128,A
77,Jack Daniels Tennessee Honey,1250.3899999999999,64107.22999999999,27.59506871042857,A
77,Svedka Vodka,1250.11,65357.33999999999,28.133180735321766,A
77,Jim Beam Traveler,1235.37,66592.70999999999,28.664947901564982,A
77,Johnnie Walker Red Label,1203.34,67796.04999999999,29.18292769857083,A
77,Yukon Jack,1190.48,68986.52999999998,29.695371886198195,A
77,Makers Mark,1183.61,70170.13999999998,30.204858870370657,A
77,Seagrams 7 Crown,1173.85,71343.98999999999,30.710144645559147,A
77,Leroux Blackberry Brandy,1171.65,72515.63999999998,31.214483426919276,A
77,Malibu Rum,1065.27,73580.90999999999,31.673030752161036,A
77,The Glenlivet 12 Yr Single,1032.77,74613.68,32.11758839584755,A
77,Clos du Bois Chard,951.26,75564.93999999999,32.52705991819351,A
77,Seagrams VO,950.53,76515.46999999999,32.93621721076914,A
77,Jose Cuervo Especial Silver,943.5799999999999,77459.04999999999,33.34238286375066,A
77,Dewars White Label,925.73,78384.77999999998,33.74086495317029,A
77,Kamora Coffee,873.42,79258.19999999998,34.116830112062075,A
77,Amaretto DiSaronno,871.43,80129.62999999998,34.491938671990944,A
77,Bombay Sapphire Gin,864.6,80994.22999999998,34.864107246534516,A
77,Franzia Tap Chard,863.46,81857.68999999999,35.2357851060943,A
77,Zhenka 80 Proof,859.14,82716.82999999999,35.60560341413658,A
77,Burnetts Vodka,798.39,83515.21999999999,35.94927177896406,A
77,Bentley's Vodka,791.1,84306.31999999999,36.289802150605766,A
77,Evan Williams Black Label B,789.55,85095.87,36.62966532205022,A
77,Johnnie Walker Black Label,780.86,85876.73,36.96578786787267,A
77,Canadian Ltd,776.26,86652.98999999999,37.29993033569038,A
77,Grand Marnier,775.56,87428.54999999999,37.63377148728996,A
77,Smirnoff Raspberry Vodka,769.48,88198.02999999998,37.96499549230937,A
77,Bulleit Bourbon,766.75,88964.77999999998,38.295044364078144,A
77,Stolichnaya,766.66,89731.43999999999,38.6250544951903,A
77,Mount Gay Eclipse,757.7700000000001,90489.20999999999,38.95123791033243,A
77,Jenkins Vodka,737.1800000000001,91226.38999999998,39.26855832414462,A
77,Platinum 7X Distilled Vodka,718.35,91944.73999999999,39.577773331689585,A
77,Gordons Vodka 80 Proof,662.49,92607.23,39.86294330502913,A
77,Knob Creek Bourbon,658.71,93265.94,40.14648617079086,A
77,Cavit Pinot Grigio,653.47,93919.41,40.42777346943414,A
77,Fleischmanns Royal Vodka,649.35,94568.76000000001,40.70728730690796,A
77,Patron Silver Tequila,626.88,95195.64000000001,40.97712889378036,A
77,Ciroc Apple Vodka,625.35,95820.99000000002,41.24631188949031,A
77,Apothic Winemakers Red Blend,619.38,96440.37000000002,41.51292508831149,A
77,Canadian Regal,599.4,97039.77000000002,41.770937861364246,A
77,R M Woodbridge Chard Cal,580.5,97620.27000000002,42.020815096527954,A
77,Kraken Black Spiced Rum,576.72,98196.99000000002,42.269065224113845,A
77,Jenkins Rum,575.51,98772.50000000001,42.51679450509415,A
77,Gentleman Jack,562.81,99335.31000000001,42.7590570489744,A
