Store,Description,SalesDollars,CumulativeSales,CumulativePerc,Category
69,Jack Daniels No 7 Black,15594.58,15594.58,1.378380340123603,A
69,Johnnie Walker Black Label,15094.42,30689.0,2.7125523263886073,A
69,Capt Morgan Spiced Rum,13077.73,43766.729999999996,3.8684722630233,A
69,Ketel One Vodka,12949.8,56716.53,5.013084668649655,A
69,Grey Goose Vodka,12265.15,68981.68,6.09718194018034,A
69,Absolut 80 Proof,11828.369999999999,80810.04999999999,7.1426729161288955,A
69,Tito's Handmade Vodka,10983.3,91793.34999999999,8.113469487096474,A
69,Jameson Irish Whiskey,10098.1,101891.45,9.006024625651161,A
69,Patron Silver Tequila,7104.97,108996.42,9.63402172240965,A
69,Johnnie Walker Red Label,6784.5199999999995,115780.94,10.233694748882654,A
69,Baileys Irish Cream,6640.27,122421.21,10.820617745277078,A
69,Smirnoff 80 Proof,6578.7,128999.91,11.402098666441429,A
69,Jim Beam Traveler,6444.45,135444.36000000002,11.971713441761416,A
69,Jim Beam,6400.25,141844.61000000002,12.537421448766164,A
69,Bacardi Superior Rum Trav,6350.41,148195.02000000002,13.098724176747574,A
69,Crown Royal,6007.11,154202.13,13.62968315896831,A
69,Tanqueray,5678.73,159880.86000000002,14.131617150705832,A
69,Kahlua,5592.84,165473.7,14.625959460755665,A
69,The Glenlivet 12 Yr Single,5514.21,170987.91,15.113351789071844,A
69,Jagermeister Liqueur,5177.34,176165.25,15.570968709189959,A
69,New Amsterdam Vodka,4877.63,181042.88,16.002094734924356,A
69,Three Olives Vodka,4325.53,185368.41,16.384421512087627,A
69,Makers Mark,4069.0,189437.41,16.744074006990534,A
69,Kendall Jackson Chard Vt RSV,3854.13,193291.54,17.084734481352815,A
69,Grand Marnier,3836.76,197128.30000000002,17.423859648800263,A
69,Malibu Rum,3803.3799999999997,200931.68000000002,17.7600344106739,A
69,Chivas Regal,3675.56,204607.24000000002,18.08491136426577,A
69,Bulleit Bourbon,3613.82,208221.06000000003,18.404331216595587,A
69,Pinnacle Vodka,3505.84,211726.90000000002,18.714206886964323,A
69,Jose Cuervo Especial,3418.7799999999997,215145.68000000002,19.01638746118997,A
69,Jack Daniels Tennessee Honey,3409.13,218554.81000000003,19.317715087129596,A
69,Southern Comfort,3304.83,221859.64,19.609823800506337,A
69,Ch La Rousseliere St Estephe,3299.78,225159.42,19.9014861523448,A
69,Bacardi Superior Rum,3261.43,228420.85,20.18975880814504,A
69,Bombay Sapphire Gin,3205.52,231626.37,20.473089667191775,A
69,Stolichnaya,3196.36,234822.72999999998,20.755610888279964,A
69,Josh Cellars Cab Svgn Sonoma,3194.85,238017.58,21.037998642848788,A
69,Beefeater,3193.8,241211.37999999998,21.320293589573016,A
69,Dewars White Label,3075.56,244286.93999999997,21.592137489111867,A
69,Ch Palmer Margaux 09 Medoc,3059.91,247346.84999999998,21.862598109824166,A
69,Fireball Cinnamon Whisky,3011.2799999999997,250358.12999999998,22.128760401505467,A
69,Cointreau Liqueur,2971.15,253329.27999999997,22.391375665754857,A
69,J Lohr Riverstone Chard,2918.44,256247.71999999997,22.64933197620569,A
69,Simi Chard,2912.35,259160.06999999998,22.90675000115788,A
69,Knob Creek Bourbon,2809.14,261969.21,23.155045456928725,A
69,Bulleit 95 Rye,2777.95,264747.16,23.40058407777304,A
69,Amaretto DiSaronno,2565.96,267313.12,23.627385236736192,A
69,Canadian Club,2435.83,269748.95,23.842684410159475,A
69,Stolichnaya Razberi,2400.93,272149.88,24.054898827605342,A
69,Hornitos Reposado Tequila,2396.93,274546.81,24.26675969135752,A
69,Svedka Vodka,2364.14,276910.95,24.475722298705705,A
69,Woodford Reserve Bourbon,2322.79,279233.74,24.6810300447454,A
69,Clos du Bois Chard,2284.2200000000003,281517.95999999996,24.882928649293717,A
69,Silver Oak Cab Svgn Alex Vly,2239.68,283757.63999999996,25.080890433462834,A
69,Myers Original Dark Rum,2213.2200000000003,285970.8599999999,25.27651345994821,A
69,Absolut Citron,2132.89,288103.74999999994,25.465036244380123,A
69,Rombauer El Dorado Znfdl,2071.26,290175.00999999995,25.648111650276558,A
69,Hennessy Privilege VSOP,1975.6,292150.6099999999,25.82273181958847,A
69,Dr McGillicuddy's Mentholmnt,1961.6200000000001,294112.2299999999,25.99611631874095,A
69,Speymalt Macallan 1993 20 Yr,1919.88,296032.1099999999,26.165811485099805,A
69,Toasted Head Chard,1912.26,297944.36999999994,26.33483313167219,A
69,Jose Cuervo Especial Silver,1896.1399999999999,299840.50999999995,26.502429956859018,A
69,Hornitos Plata Tequila,1886.58,301727.08999999997,26.669181788717932,A
69,Cavit Pinot Grigio,1876.1,303603.18999999994,26.835007309899385,A
69,Phillips Seven Deadly Znfdl,1873.75,305476.93999999994,27.000625118285797,A
69,Crown Royal Regal Apple,1866.28,307343.22,27.165582665149255,A
69,H3 Horse Heaven Hills Cab Sv,1858.45,309201.67,27.32984813065732,A
69,J Lohr Seven Oaks Cab Svgn,1854.84,311056.51,27.49379451395683,A
69,Josh Cellars Chard,1844.5800000000002,312901.09,27.656834032032037,A
69,Mark West Pnt Nr Sonoma,1834.13,314735.22000000003,27.818949891082482,A
69,R M Woodbridge Chard Cal,1832.44,316567.66000000003,27.980916373697344,A
69,Apothic Winemakers Red Blend,1818.18,318385.84,28.141622437394215,A
69,Stags Leap Artemis Cab Svgn,1809.64,320195.48000000004,28.301573663955065,A
69,Hendrick's Gin,1800.56,321996.04000000004,28.46072232363124,A
69,Simi Cab Svgn,1774.89,323770.93000000005,28.617602052478187,A
69,Ciroc Apple Vodka,1761.52,325532.45000000007,28.773300028103986,A
69,MacMurray Ranch C Cst Pnt Nr,1747.47,327279.92000000004,28.927756146380705,A
69,Basil Hayden Bourbon,1715.56,328995.48000000004,29.07939179006604,A
69,Dom de Dionysos La Deveze,1708.8600000000001,330704.34,29.23043523131445,A
69,Sambuca Romana,1701.08,332405.42000000004,29.380791010628638,A
69,Pol Roger Brut Vintage,1679.79,334085.21,29.529265000408177,A
69,Santa Margherita Pnt Grigio,1668.1999999999998,335753.41000000003,29.676714568360257,A
69,Seagrams VO,1665.09,337418.50000000006,29.823889248315506,A
69,Caymus Spec Select Cab Svgn,1659.9,339078.4000000001,29.97060519235319,A
69,Sailor Jerry Spiced Navy Rum,1643.78,340722.1800000001,30.115896315005312,A
69,Kendall Jackson Pnt Nr Vtnr,1629.0400000000002,342351.2200000001,30.259884592296203,A
69,Banfi Chianti Clsc RSV,1622.8400000000001,343974.0600000001,30.403324861361885,A
69,Veuve Clicquot Brut Yellow,1604.55,345578.6100000001,30.54514850616317,A
69,Skyy Vodka,1602.77,347181.3800000001,30.686814819570778,A
69,La Crema Chard Sonoma Cst,1596.15,348777.53000000014,30.827896001615326,A
69,Saddleback Clrs 09 Cab Svgn,1595.58,350373.11000000016,30.968926802258526,A
69,Belvedere Polish Vodka,1590.63,351963.74000000017,31.109520080205787,A
69,1800 Silver Tequila,1589.91,353553.65000000014,31.250049718488185,A
69,Ch Pichon Long Comtesse L 12,1559.88,355113.53000000014,31.38792505241523,A
69,Carpineto Dogajolo Tuscan Rd,1538.46,356651.99000000017,31.52390710631258,A
69,Ch Montrose 10,1517.94,358169.93000000017,31.65807542976132,A
69,Gentleman Jack,1514.34,359684.2700000002,31.791925554885744,A
69,Gordons London Dry,1511.94,361196.2100000002,31.925563547793953,A
69,Buehler Chard RRV,1510.74,362706.9500000002,32.059095474594045,A
69,Platinum 7X Distilled Vodka,1509.27,364216.2200000002,32.19249747041172,A
69,Ciroc Red Berry Vodka,1503.32,365719.5400000002,32.32537355511004,A
69,Meiomi Pnt Nr,1492.32,367211.8600000002,32.457277367150716,A
69,R Mondavi Cab Svgn Napa,1484.45,368696.31000000023,32.588485562299056,A
69,Rombauer Carneros Chard,1465.5,370161.81000000023,32.718018796823564,A
69,Smirnoff Raspberry Vodka,1455.56,371617.3700000002,32.84667345041925,A
69,Villa Maria Svgn Bl Pvt Bin,1455.0900000000001,373072.46000000025,32.97528656145594,A
69,Smirnoff Traveler,1439.2,374511.66000000027,33.10249518044446,A
69,Butter Chard,1428.98,375940.64000000025,33.22880046974559,A
69,Remy Martin 1738 Accord Ryl,1419.74,377360.38000000024,33.35428905001432,A
69,Ch Smith Haut Lafitte 12 Whi,1418.89,378779.27000000025,33.47970250012314,A
69,Jos Phelps Insignia 2010 Red,1407.89,380187.16000000027,33.60414367757433,A
69,Godiva Chocolate Liqueur,1398.02,381585.1800000003,33.72771246128634,A
69,Gordons Vodka 80 Proof,1350.96,382936.1400000003,33.84712168579212,A
69,Johnnie Walker Blue Label,1329.95,384266.0900000003,33.96467386952181,A
69,Ron Virgin Heavy Bodied Rum,1329.05,385595.1400000003,34.08214650367042,A
69,Sterling Vintners Cab Svgn C,1317.9,386913.0400000003,34.198633606897886,A
69,Freakshow Cab Svgn,1310.31,388223.3500000003,34.314449841991575,A
69,Leese-Fitch Cab Svgn,1296.8200000000002,389520.17000000033,34.4290737172533,A
69,Krug Grande Cuvee Brut,1286.91,390807.0800000003,34.542821663238925,A
69,Moet & Chandon Imperial,1255.05,392062.1300000003,34.65375355405433,A
69,Silverado Cab Svgn Napa,1246.71,393308.8400000003,34.7639482854184,A
69,L Martini Cab Svgn Sonoma,1234.05,394542.8900000003,34.873024019341955,A
69,Opus One 12,1229.95,395772.8400000003,34.981737360729475,A
69,Josh Cellars Legacy Red,1229.22,397002.0600000003,35.090386178567904,A
69,Glenfiddich Special Rsv 12,1219.8,398221.8600000003,35.19820237745769,A
69,Joseph Carr Cab Svgn Napa,1219.3899999999999,399441.2500000003,35.30598233709388,A
69,Sebastiani Znfdl Sonoma Cnty,1218.78,400660.0300000003,35.413708379791785,A
69,R M Woodbridge Cab Svgn Cal,1203.96,401863.99000000034,35.520124506054586,A
69,Seagrams 7 Crown,1203.67,403067.6600000003,35.626514999674576,A
69,Johnnie Walker Green Label,1199.8,404267.4600000003,35.73256343009594,A
69,Kraken Black Spiced Rum,1196.4299999999998,405463.8900000003,35.83831399153036,A
69,Grey Goose Le Citron Vodka,1195.54,406659.4300000003,35.94398588726794,A
69,Yellow Tail Cab Svgn Ausl,1180.52,407839.9500000003,36.04833018888573,A
69,Phillips Earthquake Cab Svgn,1169.55,409009.5000000003,36.15170486949858,A
69,Menage a Trois Silk Soft Red,1167.84,410177.3400000003,36.25492840590738,A
69,Buchanans Deluxe 12Yr Scotch,1155.72,411333.0600000003,36.357080674624314,A
69,Angel's Envy NH Blend Bourbn,1149.75,412482.8100000003,36.458705264453414,A
69,Capt Morgan Spiced Rum 100,1149.54,413632.35000000027,36.56031129271359,A
69,New Amsterdam Gin,1142.2,414774.5500000003,36.661268549945866,A
69,Jenkins Vodka,1139.52,415914.0700000003,36.76198892620336,A
69,Grey Goose L'Orange Vodka,1126.44,417040.5100000003,36.861553181882506,A
69,Bacardi Twin Pack 2/750mls,1119.4399999999998,418159.9500000003,36.96049871859769,A
69,MezzaCorona Pnt Grigio,1117.03,419276.98000000033,37.05923123921244,A
69,Beringer Classic Wh Znfdl,1107.86,420384.8400000003,37.1571532379844,A
69,Ch Les Carruades 11 Lafitte,1099.95,421484.7900000003,37.254376084327106,A
69,Ch Clos Fourtet 12 St-Emilin,1099.89,422584.68000000034,37.35159362736441,A
69,Luksusowa Potato Vodka,1099.51,423684.19000000035,37.4487775828008,A
69,The Prisoner Red Napa Valley,1091.74,424775.93000000034,37.54527476018721,A
69,Evan Williams Black Label B,1080.85,425856.7800000003,37.64080938764255,A
69,RumChata Liqueur,1080.39,426937.17000000033,37.73630335642312,A
69,Noble Vines 337 Cab Svgn,1067.1100000000001,428004.2800000003,37.830623526940656,A
69,Madison's Ranch Cab Svgn,1065.18,429069.4600000003,37.92477310780098,A
69,Ciroc Snap Frost Vodka,1064.36,430133.8200000003,38.018850210154106,A
69,Banfi Centine Mntcln Tscna,1062.67,431196.4900000003,38.112777936071645,A
69,Zhenka Tropical Dark Rum,1058.04,432254.53000000026,38.206296423588746,A
69,Ch Calon 12 Segur St-Estphe,1055.8799999999999,433310.41000000027,38.29962399211125,A
69,Absolut Mandrin,1051.37,434361.78000000026,38.392552928844125,A
69,Nikka Whisky Taketsuru 12 Yr,1034.85,435396.63000000024,38.48402168882207,A
69,Jack Daniels Tennessee Fire,1028.6100000000001,436425.2400000002,38.57493890503786,A
69,Clos du Bois Cab Svgn N Cst,1024.97,437450.2100000002,38.665534387392405,A
69,Jack Daniels Tennesse Fire,1023.56,438473.7700000002,38.75600524206992,A
69,Joel Gott Cab Svgn 815,1014.27,439488.0400000002,38.84565496829385,A
69,Benziger Cab Svgn Sonoma,1007.28,440495.32000000024,38.93468685943806,A
69,Robert Hall Cab Svgn,1007.28,441502.60000000027,39.02371875058228,A
69,Chambord Royale de France,1001.6199999999999,442504.22000000026,39.11225036324993,A
69,Ch Alter Ego 10 Brdx,999.92,443504.14000000025,39.200631715597744,A
69,Silver Oak Cab Svgn Napa,989.9100000000001,444494.0500000002,39.28812829982712,A
69,Ciroc Peach Vodka,988.42,445482.4700000002,39.3754931853056,A
69,Seghesio Znfdl Sonoma,979.51,446461.9800000002,39.462070529931395,A
69,Bacardi Oakheart Spiced Rum,977.41,447439.3900000002,39.548462258868,A
69,Godiva Wh Chocolate Liqueur,975.59,448414.9800000002,39.634693120873976,A
69,R M Woodbridge Pnt Grigio,975.15,449390.13000000024,39.72088509197365,A
69,R M Woodbridge Merlot Cal,972.2099999999999,450362.34000000026,39.806817201108466,A
69,R Mondavi Pnt Nr Napa Vly,971.64,451333.9800000003,39.89269892884193,A
69,R Mondavi Chard Pvt Sel,968.9200000000001,452302.90000000026,39.97834024006368,A
69,Balvenie 12 Yr Doublewood S,959.84,453262.7400000003,40.06317898440077,A
69,Tenshen Red,959.36,454222.10000000027,40.14797530229462,A
69,Zhenka 80 Proof,959.04,455181.14000000025,40.23274333589296,A
69,Buffalo Trace Bourbon,949.62,456130.76000000024,40.31667875054268,A
69,Remy Martin VSOP Cognac,938.71,457069.47000000026,40.39964984749287,A
69,WhistlePig 10 Yr Old Rye,934.8699999999999,458004.34000000026,40.48228153289711,A
69,Rodney Strong Cab Svgn,934.4499999999999,458938.79000000027,40.56487609516353,A
69,Wild Turkey 101,930.63,459869.4200000003,40.647133013652464,A
69,Belvedere Vodka,924.62,460794.04000000027,40.72885871771663,A
69,Menage a Trois Midnight,920.9399999999999,461714.9800000003,40.81025915238262,A
69,Menage a Trois Red,920.58,462635.5600000003,40.89162776721617,A
69,Ecco Domani Pnt Grigio Venez,919.08,463554.6400000003,40.97286379941459,A
69,Smirnoff Vanilla Vodka,915.05,464469.6900000003,41.053743626266616,A
69,Ron Virgin White,905.3,465374.9900000003,41.133761665990285,A
69,Darkhorse Cab Svgn,902.87,466277.8600000003,41.213564921845034,A
69,Charles Smith Velvet Dev Mer,901.3499999999999,467179.21000000025,41.29323382729618,A
69,Ch Ducru Beaucaillou 11 Jul,899.94,468079.15000000026,41.3727781050703,A
69,DeKuyper Triple Sec,899.62,468978.77000000025,41.45229409854893,A
69,Madrigal Cab Svgn,899.55,469878.32000000024,41.53180390483793,A
69,W Hill Est Cab Svgn No Cst,896.3100000000001,470774.63000000024,41.61102733263503,A
69,E & J Brandy VS,892.06,471666.69000000024,41.689875109632595,A
69,Alamos Ridge Malbec Mendoza,889.11,472555.8000000002,41.76846214078107,A
69,Lagavulin Single Malt 16-Yr,883.88,473439.6800000002,41.84658690047504,A
69,Black Velvet Canadian Whisky,883.3199999999999,474323.00000000023,41.9246621626519,A
69,Stolichnaya Vanil,881.5899999999999,475204.59000000026,42.00258451285624,A
69,Napa Highlands Meritage,879.12,476083.71000000025,42.080288543654724,A
