Store,Description,SalesDollars,CumulativeSales,CumulativePerc,Category
54,Tito's Handmade Vodka,7036.16,7036.16,2.186857842678364,A
54,From the Tank Red Keg,5531.76,12567.92,3.9061440356891066,A
54,Ketel One Vodka,4392.46,16960.38,5.271332661253478,A
54,Jameson Irish Whiskey,3856.31,20816.690000000002,6.46988439505416,A
54,Absolut 80 Proof,3805.24,24621.93,7.652563432664648,A
54,Jack Daniels No 7 Black,3759.44,28381.37,8.821007704551409,A
54,Capt Morgan Spiced Rum,3684.79,32066.16,9.966250551519472,A
54,Baileys Irish Cream,3655.7599999999998,35721.92,11.102470794798455,A
54,Grey Goose Vodka,3583.63,39305.549999999996,12.21627283607629,A
54,Clos du Bois Chard,3095.69,42401.24,13.178421785929762,A
54,Kahlua,2630.54,45031.78,13.99600083891877,A
54,Kendall Jackson Chard Vt RSV,2264.58,47296.36,14.699838519325779,A
54,Smirnoff 80 Proof,2231.79,49528.15,15.39348497772228,A
54,Patron Silver Tequila,1943.51,51471.66,15.997533220773013,A
54,Jim Beam,1901.06,53372.72,16.588387887295962,A
54,Jose Cuervo Especial,1808.21,55180.93,17.150384518940132,A
54,Le Petit Mout Roths 11 Pauil,1799.88,56980.81,17.709792163717957,A
54,Makers Mark,1744.96,58725.77,18.25213052173711,A
54,Tanqueray,1605.42,60331.189999999995,18.751099464710645,A
54,Grand Marnier,1559.39,61890.579999999994,19.235762157329095,A
54,Stolichnaya,1406.3999999999999,63296.979999999996,19.67287513798088,A
54,The Glenlivet 12 Yr Single,1313.61,64610.59,20.081148731918585,A
54,Josh Cellars Cab Svgn Sonoma,1309.1200000000001,65919.70999999999,20.48802682153097,A
54,Oban 14-Yr Single Malt,1277.79,67197.49999999999,20.88516746114064,A
54,Crown Royal,1237.59,68435.08999999998,21.269813830398917,A
54,Johnnie Walker Red Label,1224.2,69659.28999999998,21.650298550900846,A
54,J Lohr Seven Oaks Cab Svgn,1214.24,70873.52999999998,22.02768767606198,A
54,Absolut Citron,1181.71,72055.23999999999,22.39496638792633,A
54,Mark West Pnt Nr Sonoma,1175.82,73231.06,22.76041447162228,A
54,Canadian Club,1159.6100000000001,74390.67,23.120824442820812,A
54,Three Olives Vodka,1149.32,75539.99,23.478036253772682,A
54,Simi Chard,1124.98,76664.97,23.8276831259098,A
54,Knob Creek Bourbon,1122.95,77787.92,24.176699068474445,A
54,Hornitos Plata Tequila,1104.1,78892.02,24.51985637929472,A
54,Hendrick's Gin,1100.73,79992.75,24.861966284864145,A
54,Veuve Clicquot Brut Yellow,1094.74,81087.49,25.202214481990662,A
54,R M Woodbridge Cab Svgn Cal,1072.1,82159.59000000001,25.53542610496903,A
54,MezzaCorona Pnt Grigio,1060.1100000000001,83219.70000000001,25.864911203034136,A
54,Fireball Cinnamon Whisky,1057.38,84277.08000000002,26.193547809605228,A
54,Bulleit Bourbon,1026.59,85303.67000000001,26.512614799655935,A
54,Beefeater,1020.62,86324.29000000001,26.829826297318633,A
54,Jagermeister Liqueur,994.8,87319.09000000001,27.1390128681039,A
54,Cointreau Liqueur,994.74,88313.83000000002,27.44818079072446,A
54,1800 Reposado Gold Tequila,986.7,89300.53000000001,27.754849859274742,A
54,Matua Svgn Bl Marlboro,983.1800000000001,90283.71,28.060424902162406,A
54,Sambuca Romana,959.38,91243.09000000001,28.358602839717665,A
54,Dewars White Label,953.72,92196.81000000001,28.65502163373588,A
54,Bacardi Superior Rum,950.47,93147.28000000001,28.95043031883265,A
54,Stolichnaya Razberi,942.63,94089.91000000002,29.243402310408158,A
54,Hornitos Reposado Tequila,940.5600000000001,95030.47000000002,29.535730940301388,A
54,Svedka Vodka,922.29,95952.76000000001,29.822381204042376,A
54,Apothic Winemakers Red Blend,919.08,96871.84000000001,30.108033790971735,A
54,Phillips Seven Deadly Znfdl,914.39,97786.23000000001,30.392228713026757,A
54,Rodney Strong Cab Svgn,912.4599999999999,98698.69000000002,30.675823785783816,A
54,Bombay Sapphire Gin,905.66,99604.35000000002,30.957305399874468,A
54,Jack Daniels Tennessee Honey,903.52,100507.87000000002,31.238121896090693,A
54,Johnnie Walker Black Label,884.76,101392.63000000002,31.5131077328096,A
54,Amaretto DiSaronno,881.61,102274.24000000002,31.78711454088157,A
54,Belvedere Polish Vodka,859.8000000000001,103134.04000000002,32.054342741083794,A
54,Absolut Mango,835.6200000000001,103969.66000000002,32.314055730910475,A
54,Mount Gay Eclipse,833.74,104803.40000000002,32.57318441157644,A
54,Bulleit 95 Rye,822.6999999999999,105626.10000000002,32.828881829936954,A
54,R M Woodbridge Chard Cal,793.38,106419.48000000003,33.075466511812316,A
54,Glenfiddich Special Rsv 12,738.87,107158.35000000002,33.30510933605448,A
54,La Crema Chard Sonoma Cst,738.5999999999999,107896.95000000003,33.53466824355548,A
54,Dr McGillicuddy's Mentholmnt,734.18,108631.13000000002,33.76285340292332,A
54,Grey Goose Glass Pack,726.87,109358.00000000001,33.98876659422477,A
54,A to Z Pnt Gris Ore,719.55,110077.55000000002,34.212404709432384,A
54,Skyy Vodka,716.87,110794.42000000001,34.43520987328324,A
54,Mionetto Prosecco Brut,715.88,111510.30000000002,34.65770734241649,A
54,Moet & Chandon Imperial,673.8,112184.10000000002,34.86712623203763,A
54,Mortlach Single Malt Scotch,664.9300000000001,112849.03000000001,35.07378830131009,A
54,Seagrams VO,662.65,113511.68000000001,35.279741740323814,A
54,Simi Cab Svgn,651.6,114163.28000000001,35.482260809004636,A
54,RumChata Liqueur,638.62,114801.90000000001,35.680745658054576,A
54,Madison's Ranch Cab Svgn,636.51,115438.41,35.87857471331244,A
