Store,Description,SalesDollars,CumulativeSales,CumulativePerc,Category
63,Bacardi Superior Rum,3843.6499999999996,3843.6499999999996,3.2359433907541075,A
63,Capt Morgan Spiced Rum,3335.29,7178.94,6.043901875982542,A
63,Jack Daniels No 7 Black,3041.9900000000002,10220.93,8.604933040433021,A
63,Absolut 80 Proof,2259.6299999999997,12480.56,10.507300520315349,A
63,Jim Beam,2072.25,14552.81,12.25191402349337,A
63,Jameson Irish Whiskey,1963.26,16516.07,13.904769570000441,A
63,Canadian Club,1676.78,18192.85,15.316439508404997,A
63,Black Velvet Canadian Whisky,1610.76,19803.609999999997,16.672527647567275,A
63,Tito's Handmade Vodka,1510.61,21314.219999999998,17.94430016730946,A
63,Johnnie Walker Red Label,1383.7,22697.92,19.109228001473983,A
63,Smirnoff 80 Proof,1277.6799999999998,23975.6,20.184898302229442,A
63,Grey Goose Vodka,1185.5,25161.1,21.18296287359754,A
63,Kahlua,1157.46,26318.559999999998,22.15742075531472,A
63,Bacardi Superior Rum Trav,1095.3799999999999,27413.94,23.079613897605054,A
63,Ketel One Vodka,1068.54,28482.48,23.979210622269473,A
63,Crown Royal,1019.71,29502.19,24.83769769444979,A
63,Fireball Cinnamon Whisky,986.52,30488.71,25.668242326205217,A
63,Jim Beam Traveler,959.55,31448.26,26.476081094198687,A
63,Baileys Irish Cream,957.47,32405.73,27.282168724015484,A
63,Canadian Ltd,954.59,33360.32,28.085831700972275,A
63,Dr McGillicuddy's Mentholmnt,833.59,34193.909999999996,28.787625582074533,A
63,Arrow Coffee Brandy,820.28,35014.189999999995,29.4782138626328,A
63,Tanqueray Sterling Vodka,800.3299999999999,35814.52,30.152006370775382,A
63,Three Olives Vodka,796.53,36611.049999999996,30.82259968417212,A
63,Jagermeister Liqueur,792.41,37403.46,31.489724396949683,A
63,Jose Cuervo Especial,779.99,38183.45,32.14639279426845,A
63,Pinnacle Vodka,759.4899999999999,38942.939999999995,32.78580237782674,A
63,Southern Comfort,729.61,39672.549999999996,33.40005618796245,A
63,Hennessy VS Cognac,707.48,40380.03,33.99567889817038,A
63,Svedka Vodka,688.52,41068.549999999996,34.57533931038326,A
63,Beefeater,664.7499999999999,41733.299999999996,35.13498791756752,A
63,Gordons London Dry,652.5600000000001,42385.85999999999,35.68437384476445,A
63,Tanqueray,631.8,43017.659999999996,36.21628206592883,A
63,New Amsterdam Vodka,618.58,43636.24,36.737060456951085,A
63,Amaretto DiSaronno,574.39,44210.63,37.220635580652576,A
63,Makers Mark,563.81,44774.439999999995,37.69530347266695,A
63,Stolichnaya,539.77,45314.20999999999,38.149732248447094,A
63,Canadian Mist,537.66,45851.869999999995,38.60238462924995,A
63,Fleischmanns Royal Vodka,529.47,46381.34,39.04814190348214,A
63,Leroux Blackberry Brandy,517.97,46899.31,39.48421740414139,A
63,Bentley's Vodka,509.82,47409.13,39.913431473964145,A
63,Smirnoff Traveler,503.71999999999997,47912.85,40.337509994326474,A
63,Burnetts Gin,465.65,48378.5,40.72953763469557,A
63,Clos du Bois Chard,460.65,48839.15,41.11735580829381,A
63,Seagrams 7 Crown,460.44,49299.590000000004,41.504997184287674,A
63,Platinum 7X Distilled Vodka,452.61,49752.200000000004,41.88604653531839,A
63,Jenkins Vodka,452.49,50204.69,42.26699485914661,A
63,Bailey's 50mL 4 Pack,437.27,50641.96,42.63512956612436,A
63,Bombay Sapphire Gin,431.86,51073.82,42.99870963005606,A
63,Patron Silver Tequila,424.91,51498.73,43.35643853517628,A
63,Smirnoff Raspberry Vodka,410.5,51909.23,43.70203575706291,A
63,The Glenlivet 12 Yr Single,407.93999999999994,52317.170000000006,44.045477731962876,A
63,Zhenka 80 Proof,399.6,52716.770000000004,44.38189831628906,A
63,Dewars White Label,394.76,53111.530000000006,44.71424413678107,A
63,Johnnie Walker Black Label,384.91999999999996,53496.450000000004,45.038305726668035,A
63,Bacardi Twin Pack 2/750mls,379.81,53876.26,45.358065241515206,A
63,Skyy Vodka,371.99,54248.25,45.67124115033277,A
63,Bowman Vodka,368.59000000000003,54616.84,45.98155462174615,A
63,Gordons Vodka 80 Proof,363.72,54980.56,46.28776807252473,A
63,Old Smuggler P E T,362.78,55343.34,46.59319014355039,A
63,Gilbeys London Dry,360.21,55703.549999999996,46.89644854865583,A
63,Kahlua w/50mL Absolut+Glass,358.82,56062.369999999995,47.19853672199898,A
63,Jack Daniels Tennessee Honey,355.8,56418.17,47.49808237741254,A
63,Beringer Classic Wh Znfdl,353.58,56771.75,47.795759029579834,A
63,Crown Royal w/2 Glasses,351.84,57123.59,48.09197078731088,A
63,Myers Original Dark Rum,350.83,57474.42,48.38733223275421,A
63,Southern Comfort 100 Proof,347.88,57822.299999999996,48.68021009280274,A
63,Stone Cellars Cab Svgn,345.59,58167.88999999999,48.97116001707022,A
63,Clan MacGregor,341.82,58509.70999999999,49.25893600339248,A
63,Seagrams VO,338.83,58848.53999999999,49.54419472858578,A
63,Dr McGillicuddy's Root Beer,336.49,59185.02999999999,49.827483423330314,A
63,Evan Williams Black Label B,335.31,59520.33999999999,50.109778683916936,A
63,Cline Cashmere Red Cal,332.63,59852.96999999999,50.38981767031438,A
63,Franzia Chillable Red Tap,327.78000000000003,60180.749999999985,50.66577347394409,A
63,Bombay Dry Gin,324.87,60505.61999999999,50.939279367913194,A
63,Corbett Canyon Pnt Grigio,320.75,60826.36999999999,51.2093166612631,A
63,Sambuca di Amore,319.68,61146.04999999999,51.47845312872405,A
63,Glen Ellen Chard RSV,319.54,61465.58999999999,51.74747173111541,A
63,Grand Marnier,318.87,61784.45999999999,52.01592626495948,A
63,Seagrams Extra Dry Gin,316.78,62101.23999999999,52.28262124169334,A
63,Kamora Coffee,301.8,62403.03999999999,52.53670465598174,A
63,Mr Boston Coffee Brandy,299.7,62702.73999999999,52.78902009422637,A
63,Sailor Jerry Spiced Navy Rum,295.84999999999997,62998.58999999999,53.03809424305746,A
63,Yellow Tail Cab Svgn Ausl,294.53,63293.11999999999,53.28605709266104,A
63,U V Vodka,293.79,63586.90999999999,53.53339694118254,A
63,Malibu Rum,291.84999999999997,63878.75999999999,53.77910351659695,A
63,MezzaCorona Pnt Grigio,290.53,64169.289999999986,54.02369879278385,A
63,The Famous Grouse,287.89,64457.179999999986,54.26607147051573,A
63,Burnetts Vodka,287.27,64744.44999999998,54.50792217436805,A
63,Luksusowa Potato Vodka,272.88,65017.32999999998,54.73765803285386,A
63,Calico Jack Coconut Rum,272.79,65290.11999999998,54.96731812093779,A
63,Franzia Tap Chard,271.83,65561.94999999998,55.196169991401725,A
63,Smirnoff Blue 100 Proof Trav,269.9,65831.84999999998,55.4233970076921,A
63,Gilbeys Vodka Traveler,269.46000000000004,66101.30999999998,55.65025359090665,A
63,Deep Eddy Ruby Red,265.85999999999996,66367.16999999998,55.874079358046195,A
63,Popov Vodka,259.8,66626.96999999999,56.09280325145947,A
63,Jim Beam Maple,256.72,66883.68999999999,56.3089341133419,A
63,Mr Boston Blackberry Brandy,252.77,67136.45999999999,56.521739496475355,A
63,Stone Cellars Merlot,247.69,67384.15,56.730268061369635,A
63,Everclear 151,239.91,67624.06,56.93224669596848,A
63,J Lohr Riverstone Chard,239.78,67863.84,57.134115884431274,A
63,Bella Sera Pinot Grigio Del,239.76000000000002,68103.59999999999,57.335968235026975,A
63,Pinnacle Citrus Vodka,237.85999999999999,68341.45999999999,57.53622098824977,A
63,Glen Ellen Cab Svgn RSV,237.66,68579.12,57.73630536280173,A
63,New Amsterdam Gin,236.81,68815.93,57.93567412800263,A
63,Jack Daniels Tennesse Fire,235.89999999999998,69051.82999999999,58.13427677025125,A
63,Taaka Vodka,233.74,69285.56999999999,58.33106092285485,A
63,Old Crow,231.81,69517.37999999999,58.526220221284916,A
63,Ten High,224.82,69742.2,58.71549468516934,A
63,Franzia Tap Cab Svgn,223.86,69966.06,58.90396093143376,A
