Store,Description,SalesDollars,CumulativeSales,CumulativePerc,Category
72,Capt Morgan Spiced Rum,8701.03,8701.03,2.5002633586331955,A
72,Jack Daniels No 7 Black,6297.02,14998.050000000001,4.309728258142839,A
72,Absolut 80 Proof,4305.63,19303.68,5.5469621172183565,A
72,Jameson Irish Whiskey,4229.2300000000005,23532.91,6.76224223971331,A
72,Ketel One Vodka,4141.76,27674.67,7.952387632644103,A
72,Jim Beam Traveler,3885.16,31559.829999999998,9.068798355331802,A
72,Crown Royal,3875.7,35435.53,10.182490722678503,A
72,Tito's Handmade Vodka,3814.21,39249.74,11.278513780308728,A
72,Grey Goose Vodka,3682.56,42932.299999999996,12.336706871697709,A
72,Kahlua,3674.85,46607.149999999994,13.392684474748517,A
72,Baileys Irish Cream,3203.34,49810.48999999999,14.313172466083342,A
72,Smirnoff 80 Proof,3089.66,52900.149999999994,15.200994216914525,A
72,Bacardi Superior Rum Trav,3012.25,55912.399999999994,16.06657200506637,A
72,Pinnacle Vodka,2978.05,58890.45,16.92232233522011,A
72,Three Olives Vodka,2841.32,61731.77,17.73878294806154,A
72,Jim Beam,2806.54,64538.31,18.5452494384125,A
72,Canadian Club,2805.72,67344.03,19.351480299653563,A
72,Skyy Vodka,2227.08,69571.11,19.991437468028437,A
72,Tanqueray,2202.94,71774.05,20.624457945290025,A
72,Fireball Cinnamon Whisky,2151.64,73925.69,21.242737235554458,A
72,Bacardi Superior Rum,2103.0299999999997,76028.72,21.847048317243217,A
72,Bombay Sapphire Gin,2048.87,78077.59,22.435796383575916,A
72,Patron Silver Tequila,2048.34,80125.93,23.0243921530449,A
72,Makers Mark,1980.79,82106.71999999999,23.59357725620476,A
72,Dewars White Label,1968.12,84074.83999999998,24.15912160226415,A
72,Johnnie Walker Red Label,1961.1599999999999,86035.99999999999,24.722665974415158,A
72,Svedka Vodka,1871.5,87907.49999999999,25.26044631486704,A
72,Jose Cuervo Especial,1864.61,89772.10999999999,25.796246796090646,A
72,Southern Comfort,1774.85,91546.95999999999,26.306254510357824,A
72,Stolichnaya,1757.1299999999999,93304.09,26.811170337030664,A
72,Jagermeister Liqueur,1736.15,95040.23999999999,27.310057506721034,A
72,Jack Daniels Tennesse Fire,1641.29,96681.52999999998,27.781686411332448,A
72,Smirnoff Traveler,1637.09,98318.61999999998,28.252108435137078,A
