Store,Description,SalesDollars,CumulativeSales,CumulativePerc,Category
7,Jack Daniels No 7 Black,6710.58,6710.58,1.761065344573435,A
7,Capt Morgan Spiced Rum,5568.8099999999995,12279.39,3.2224946549331936,A
7,Jim Beam,4065.94,16345.33,4.289524036464285,A
7,Crown Royal,3779.85,20125.18,5.281474485260946,A
7,Kahlua,3776.97,23902.15,6.272669132294962,A
7,Absolut 80 Proof,3614.12,27516.27,7.22112686368774,A
7,Baileys Irish Cream,3320.93,30837.2,8.092642401056231,A
7,Tito's Handmade Vodka,3228.6,34065.8,8.939927668721591,A
7,Grey Goose Vodka,3046.85,37112.65,9.739516071678349,A
7,Tanqueray,2933.81,40046.46,10.509439255451284,A
7,Smirnoff 80 Proof,2927.68,42974.14,11.277753736166924,A
7,Jagermeister Liqueur,2920.45,45894.59,12.044170839540923,A
7,Black Velvet Canadian Whisky,2896.77,48791.35999999999,12.804373572866503,A
7,Canadian Club,2756.59,51547.95,13.527788705120004,A
7,Canadian Ltd,2748.38,54296.329999999994,14.249049277487627,A
7,Grand Marnier,2421.94,56718.27,14.884641819508763,A
7,Jameson Irish Whiskey,2365.05,59083.32,15.50530465240598,A
7,Ketel One Vodka,2319.79,61403.11,16.114089850658292,A
7,Makers Mark,2195.83,63598.94,16.690344081376754,A
7,Bacardi Superior Rum Trav,2158.78,65757.72,17.256875237336185,A
7,Three Olives Vodka,1862.94,67620.66,17.74576875667723,A
7,Pinnacle Vodka,1660.71,69281.37000000001,18.18159082099754,A
7,Zhenka 80 Proof,1658.34,70939.71,18.616790923450665,A
7,Fireball Cinnamon Whisky,1645.06,72584.77,19.04850593999826,A
7,Jose Cuervo Especial,1640.83,74225.6,19.479110872706975,A
7,Patron Silver Tequila,1577.18,75802.78,19.893012061598892,A
7,Bombay Sapphire Gin,1483.5,77286.28,20.282328698711435,A
7,Apothic Winemakers Red Blend,1458.54,78744.81999999999,20.66509505388105,A
7,The Glenlivet 12 Yr Single,1456.61,80201.43,21.04735491689723,A
7,Bacardi Superior Rum,1416.93,81618.35999999999,21.419201511183626,A
7,Josh Cellars Cab Svgn Sonoma,1394.07,83012.43,21.785048928979034,A
7,Johnnie Walker Red Label,1337.15,84349.57999999999,22.135958764715493,A
7,Simi Chard,1329.79,85679.36999999998,22.484937107058524,A
7,Stolichnaya,1274.51,86953.87999999998,22.81940825445745,A
7,Svedka Vodka,1242.04,88195.91999999997,23.145358261844883,A
7,Clos du Bois Chard,1185.99,89381.90999999997,23.45659900228918,A
7,Dewars White Label,1175.75,90557.65999999997,23.7651524475774,A
7,Kendall Jackson Chard Vt RSV,1144.1100000000001,91701.76999999997,24.065402570723222,A
7,Cointreau Liqueur,1133.75,92835.51999999997,24.362933906972867,A
7,Malibu Rum,1121.21,93956.72999999998,24.65717435638099,A
7,Mark West Pnt Nr Sonoma,1106.88,95063.60999999999,24.947654167157623,A
7,Phillips Seven Deadly Znfdl,1064.29,96127.89999999998,25.226957034506803,A
7,Beefeater,1020.62,97148.51999999997,25.49479953276754,A
7,Barefoot Pnt Grigio Cal,1015.74,98164.25999999998,25.761361366930462,A
