Store,Description,SalesDollars,CumulativeSales,CumulativePerc,Category
6,Tito's Handmade Vodka,9564.55,9564.55,2.0850007038979643,A
6,Jack Daniels No 7 Black,8033.97,17598.52,3.836346361048079,A
6,Jameson Irish Whiskey,7325.87,24924.39,5.433331489116308,A
6,Ketel One Vodka,6347.62,31272.01,6.817065399031233,A
6,Grey Goose Vodka,5677.97,36949.979999999996,8.054820593652153,A
6,Absolut 80 Proof,5638.44,42588.42,9.283958542524442,A
6,Capt Morgan Spiced Rum,5480.7699999999995,48069.189999999995,10.478725605052508,A
6,Makers Mark,4632.3099999999995,52701.49999999999,11.488534703303193,A
6,Hornitos Reposado Tequila,4020.94,56722.439999999995,12.365069692438226,A
6,Baileys Irish Cream,3898.2999999999997,60620.74,13.214870074474542,A
6,Tanqueray,3505.54,64126.28,13.979051700117408,A
6,Jim Beam,3429.6699999999996,67555.95,14.72669423051745,A
6,Patron Silver Tequila,3361.09,70917.04,15.459386831409745,A
6,Smirnoff 80 Proof,3009.17,73926.20999999999,16.115363491905914,A
6,Bulleit Bourbon,2996.93,76923.13999999998,16.76867192351356,A
6,Kahlua,2917.13,79840.26999999999,17.404584549132316,A
6,Grand Marnier,2736.84,82577.10999999999,18.001195296784438,A
6,Cointreau Liqueur,2719.29,85296.39999999998,18.59398027507434,A
6,J Lohr Riverstone Chard,2563.65,87860.04999999997,19.152836891909217,A
6,Bulleit 95 Rye,2552.93,90412.97999999997,19.70935662854107,A
6,Stolichnaya,2468.89,92881.86999999997,20.247556270745527,A
6,Bacardi Superior Rum,2383.23,95265.09999999996,20.76708267058146,A
6,Jagermeister Liqueur,2290.59,97555.68999999996,21.266414240006224,A
6,Josh Cellars Cab Svgn Sonoma,2229.51,99785.19999999995,21.75243082409513,A
6,The Glenlivet 12 Yr Single,2161.35,101946.54999999996,22.223589035549914,A
6,Absolut Citron,2142.49,104089.03999999996,22.69063590739379,A
6,Pinnacle Vodka,2029.05,106118.08999999997,23.132953703656465,A
6,Crown Royal,1967.35,108085.43999999997,23.56182135919841,A
6,Clos du Bois Chard,1955.46,110040.89999999998,23.988097083246515,A
6,Kendall Jackson Chard Vt RSV,1932.49,111973.38999999998,24.409365518277518,A
6,Bombay Sapphire Gin,1890.08,113863.46999999999,24.821388888997884,A
6,Fireball Cinnamon Whisky,1863.04,115726.50999999998,25.2275177409972,A
6,Hornitos Plata Tequila,1862.07,117588.57999999999,25.633435140216953,A
6,Hendrick's Gin,1827.4399999999998,119416.01999999999,26.031803457213705,A
6,Dewars White Label,1778.56,121194.57999999999,26.419516298060874,A
6,Johnnie Walker Black Label,1659.58,122854.15999999999,26.7812923845652,A
6,Svedka Vodka,1649.52,124503.68,27.14087546595364,A
6,Jack Daniels Tennesse Fire,1635.29,126138.96999999999,27.497356513266613,A
6,Simi Chard,1516.62,127655.58999999998,27.827968383929186,A
6,Knob Creek Bourbon,1439.45,129095.03999999998,28.141757769025812,A
6,Mark West Pnt Nr Sonoma,1436.56,130531.59999999998,28.45491715563487,A
6,Woodford Reserve Bourbon,1401.51,131933.11,28.7604359031473,A
6,Jose Cuervo Especial,1394.59,133327.69999999998,29.06444614217047,A
6,J Lohr Seven Oaks Cab Svgn,1386.13,134713.83,29.36661216416775,A
6,The Macallan 12 Yr Old,1325.8,136039.62999999998,29.65562669524636,A
