Store,Description,SalesDollars,CumulativeSales,CumulativePerc,Category
55,Jameson Irish Whiskey,11935.5,11935.5,1.802510920138368,A
55,Tito's Handmade Vodka,8481.98,20417.48,3.0834678615648046,A
55,Capt Morgan Spiced Rum,8446.3,28863.78,4.359036374384938,A
55,Ketel One Vodka,6439.349999999999,35303.13,5.331513329149547,A
55,Grey Goose Vodka,6253.4800000000005,41556.61,6.275920014153685,A
55,Jack Daniels No 7 Black,6168.11,47724.72,7.207434037999747,A
55,Josh Cellars Cab Svgn Sonoma,5619.25,53343.97,8.056058686149177,A
55,Crown Royal Hand Slct Barrel,5553.99,58897.96,8.894827705070822,A
55,Jim Beam,5322.49,64220.45,9.698635366863563,A
55,Absolut 80 Proof,4947.79,69168.23999999999,10.445855467031247,A
55,Moet & Chandon Nectar Imp Rs,4784.13,73952.37,11.168359473429103,A
55,Baileys Irish Cream,4595.98,78548.34999999999,11.86244888222953,A
55,Bacardi Superior Rum,4248.99,82797.34,12.504135520791698,A
55,Fireball Cinnamon Whisky,4202.25,86999.59,13.13876343869639,A
55,Jose Cuervo Especial,3948.57,90948.16,13.735080354110973,A
55,Tanqueray,3741.63,94689.79000000001,14.300144987692919,A
55,Kahlua,3393.0,98082.79000000001,14.812559176627566,A
55,Grand Marnier,3384.4,101467.19,15.323674585124596,A
55,Crown Royal,3321.9,104789.09,15.825351182301727,A
55,Makers Mark,3314.71,108103.8,16.325941938624617,A
55,Ch La Rousseliere St Estephe,3299.78,111403.58,16.824277951699408,A
55,Patron Silver Tequila,3175.32,114578.90000000001,17.30381789346421,A
55,Clos du Bois Chard,3143.6,117722.50000000001,17.778567449707936,A
55,Smirnoff 80 Proof,2767.77,120490.27000000002,18.196558790617942,A
55,J Lohr Seven Oaks Cab Svgn,2499.5,122989.77000000002,18.57403573292332,A
55,New Amsterdam Vodka,2480.2599999999998,125470.03000000001,18.948607031551983,A
55,Bombay Sapphire Gin,2317.07,127787.10000000002,19.298533216271935,A
55,Simi Chard,2285.92,130073.02000000002,19.643755097430052,A
55,Jagermeister Liqueur,2267.63,132340.65000000002,19.986214804843513,A
55,Ciroc Peach Vodka,2149.95,134490.60000000003,20.310902363198966,A
55,Johnnie Walker Red Label,2120.8,136611.40000000002,20.631187659954815,A
55,Pinnacle Vodka,2119.87,138731.27000000002,20.951332507198224,A
55,J Lohr Riverstone Chard,2090.1400000000003,140821.41000000003,21.26698750067299,A
55,Kendall Jackson Chard Vt RSV,2062.81,142884.22000000003,21.578515090733784,A
55,The Glenlivet 12 Yr Single,2020.4299999999998,144904.65000000002,21.88364241161478,A
55,Hornitos Reposado Tequila,1995.4,146900.05000000002,22.184989677338386,A
55,Caymus Spec Select Cab Svgn,1991.88,148891.93000000002,22.485805349208455,A
55,Johnnie Walker Black Label,1988.52,150880.45,22.786113590581966,A
55,Phillips Seven Deadly Znfdl,1963.69,152844.14,23.08267198099431,A
55,Bacardi Superior Rum Trav,1922.9199999999998,154767.06000000003,23.373073246006456,A
55,Three Olives Vodka,1855.8999999999999,156622.96000000002,23.653353084864047,A
55,Toasted Head Chard,1826.3300000000002,158449.29,23.92916723330997,A
55,Stolichnaya,1811.83,160261.12,24.202791577529673,A
55,Jos Phelps Insignia 2010 Red,1791.8600000000001,162052.97999999998,24.473400032756444,A
55,Knob Creek Bourbon,1779.6399999999999,163832.62,24.742163011593952,A
55,Smirnoff Traveler,1745.03,165577.65,25.00569915427495,A
55,Bulleit Bourbon,1737.42,167315.07,25.268086027289637,A
55,Cavit Pinot Grigio,1697.21,169012.28,25.524400346653554,A
55,Svedka Vodka,1668.6399999999999,170680.92,25.77639999658692,A
55,Cointreau Liqueur,1650.53,172331.45,26.025664656552234,A
55,Gentleman Jack,1601.39,173932.84000000003,26.267508145505392,A
55,Southern Comfort,1600.57,175533.41000000003,26.50922779725403,A
55,Ch Pichon Longville 12 Pauil,1594.89,177128.30000000005,26.750089649829917,A
55,Amaretto DiSaronno,1551.66,178679.96000000005,26.984422865392055,A
55,Jack Daniels Tennessee Honey,1507.02,180186.98000000004,27.212014504357068,A
55,Opus One 12,1475.94,181662.92000000004,27.43491241122892,A
55,Courvoisier VS Cognac,1459.31,183122.23000000004,27.65529883918478,A
55,Ciroc Red Berry Vodka,1445.63,184567.86000000004,27.873619300118936,A
55,Dewars White Label,1437.57,186005.43000000005,28.09072253194528,A
55,Freakshow Cab Svgn,1437.24,187442.67000000004,28.307775926847853,A
55,Beefeater,1432.45,188875.12000000005,28.52410593125087,A
55,Absolut Citron,1423.2099999999998,190298.33000000005,28.739040501788352,A
55,Madison's Ranch Cab Svgn,1415.91,191714.24000000005,28.95287261916367,A
55,Woodford Reserve Bourbon,1403.03,193117.27000000005,29.164759586302186,A
55,Hendrick's Gin,1368.6299999999999,194485.90000000005,29.371451431690225,A
55,Canadian Club,1327.45,195813.35000000006,29.57192423307582,A
55,Santa Margherita Pnt Grigio,1319.37,197132.72000000006,29.77117678493397,A
55,GranGala Triple Orange,1313.25,198445.97000000006,29.969505088387677,A
55,Apothic Winemakers Red Blend,1298.7,199744.67000000007,30.16563603656611,A
55,Sterling Vintners Cab Svgn C,1293.92,201038.59000000008,30.3610451044548,A
55,Bacardi Twin Pack 2/750mls,1279.36,202317.95000000007,30.554255306858405,A
55,Josh Cellars Pnt Nr,1279.2,203597.15000000008,30.74744134590503,A
55,Silverado Cab Svgn Napa,1246.71,204843.86000000007,30.93572071327512,A
55,Simi Cab Svgn,1237.23,206081.09000000008,31.122568401744207,A
55,Moet & Chandon Imperial,1216.63,207297.7200000001,31.306305058002255,A
55,Sailor Jerry Spiced Navy Rum,1180.4399999999998,208478.1600000001,31.48457626495363,A
55,Malibu Rum,1176.9299999999998,209655.09000000008,31.66231738826128,A
55,Stolichnaya Razberi,1168.51,210823.6000000001,31.838786914907914,A
55,Skyy Vodka,1165.99,211989.59000000008,32.014875868682125,A
55,Stags Leap Csk 23 Cab Svgn,1154.93,213144.52000000008,32.18929453040517,A
55,R M Woodbridge Chard Cal,1131.95,214276.4700000001,32.36024272998212,A
55,Menage a Trois Red,1088.7,215365.1700000001,32.524659272125696,A
55,Phillips Earthquake Cab Svgn,1087.58,216452.7500000001,32.688906670770415,A
55,Rodney Strong Cab Svgn,1086.36,217539.11000000007,32.85296982381817,A
55,Josh Cellars Chard,1078.17,218617.2800000001,33.01579611503057,A
55,Sterling Vintners Cltn Chard,1068.93,219686.21000000008,33.17722697237743,A
55,Sonoma-Cutrer Chard Sonoma,1061.47,220747.68000000008,33.33753121320516,A
55,Ferrari-Carano Chard,1053.52,221801.20000000007,33.49663483723299,A
55,Jim Beam Traveler,1023.4399999999999,222824.64000000007,33.65119575014878,A
55,Cutty Sark,1020.57,223845.21000000008,33.80532323284876,A
55,Tenuta San Guido 09 Sassacia,1019.94,224865.15000000008,33.95935557233064,A
55,Klinker Brick Old Vine Znfdl,1007.4,225872.55000000008,34.11149410870929,A
55,Mark West Pnt Nr Sonoma,1003.99,226876.54000000007,34.263117663542324,A
55,Butter Chard,985.3,227861.84000000005,34.411918636238255,A
55,Basil Hayden Bourbon,971.75,228833.59000000005,34.558673274640036,A
55,H3 Horse Heaven Hills Cab Sv,971.19,229804.78000000006,34.7053433412924,A
55,Clos du Bois Cab Svgn N Cst,971.02,230775.80000000005,34.85198773437796,A
55,Seagrams VO,968.5,231744.30000000005,34.9982515545911,A
55,Shafer One Pnt Five Cab Svgn,959.88,232704.18000000005,35.14321357394701,A
55,Smirnoff Raspberry Vodka,959.63,233663.81000000006,35.28813783805764,A
55,Chivas Regal,955.67,234619.48000000007,35.43246405908304,A
55,Veuve Clicquot Brut Yellow,954.77,235574.25000000006,35.57665436122543,A
55,Rombauer Carneros Chard,944.73,236518.98000000007,35.71932841271739,A
55,Bulleit 95 Rye,934.65,237453.63000000006,35.86048017271968,A
55,L Martini Cab Svgn Sonoma,922.2900000000001,238375.92000000007,35.99976531339534,A
55,Sonoma-Cutrer Chard RRV,919.6,239295.52000000008,36.138644207631806,A
55,Sanford Santa Barbara Chard,911.4300000000001,240206.95000000007,36.27628926045252,A
55,BenRiach Barrel 94,899.95,241106.90000000008,36.41220059241001,A
55,Acumen Moutainside Red Napa,899.64,242006.5400000001,36.548065107863344,A
55,Hornitos Plata Tequila,894.59,242901.1300000001,36.68316696736203,A
55,Gordons London Dry,893.1800000000001,243794.31000000008,36.81805588727734,A
55,Meiomi Pnt Nr,879.6,244673.9100000001,36.95089394226906,A
55,F Coppola Black Label Claret,866.49,245540.40000000008,37.08175211219832,A
55,Platinum 7X Distilled Vodka,862.08,246402.48000000007,37.21194427960085,A
55,Simi Svgn Bl,849.15,247251.63000000006,37.34018374571752,A
55,Jack Daniels Tennesse Fire,842.64,248094.27000000008,37.46744006524711,A
55,Silver Oak Cab Svgn Alex Vly,839.88,248934.15000000008,37.594279566868806,A
55,Phillips Earthquake Ld Znfdl,829.68,249763.83000000007,37.7195786544831,A
55,Napa Highlands Meritage,829.17,250593.0000000001,37.84480072139703,A
55,Tanqueray Sterling Vodka,820.43,251413.43000000008,37.96870286493598,A
55,Absolut Ruby Red,818.66,252232.09000000008,38.092337701338344,A
55,Balvenie 14 Yr Caribean Cask,815.8799999999999,253047.9700000001,38.2155526994132,A
55,J Lohr Los Osos Merlot,811.49,253859.46000000008,38.33810471538095,A
55,Glenfiddich Special Rsv 12,791.86,254651.32000000007,38.45769218948935,A
55,Dr McGillicuddy's Mentholmnt,791.6,255442.92000000007,38.577240398142656,A
55,Ciroc Apple Vodka,786.64,256229.56000000008,38.696039542729615,A
55,Justin Cab Svgn Paso Robles,783.72,257013.2800000001,38.81439770605171,A
55,Mer Soleil Chard Central Cst,783.72,257797.0000000001,38.9327558693738,A
55,Seagrams 7 Crown,780.99,258577.99000000008,39.05070174541744,A
55,Jose Cuervo Especial Silver,780.65,259358.64000000007,39.1685962743275,A
55,Remy Martin 1738 Accord Ryl,769.84,260128.48000000007,39.28485826643167,A
55,Columbia Crest G E Cab Svgn,769.23,260897.71000000008,39.401028135737356,A
55,The Macallan 12 Yr Old,767.9000000000001,261665.61000000007,39.516997147138156,A
55,R M Woodbridge Cab Svgn Cal,762.3199999999999,262427.93000000005,39.63212346146431,A
55,Rumpleminze,762.14,263190.07000000007,39.74722259201388,A
55,Johnnie Walker Blue Label,759.97,263950.04000000004,39.861994007034404,A
55,Saddleback Clrs 09 Cab Svgn,759.8000000000001,264709.84,39.97673974848814,A
55,Zhenka 80 Proof,759.24,265469.08,40.091400918192456,A
55,Caymus Cab Svgn Napa Vly,749.8999999999999,266218.98000000004,40.20465155193313,A
55,Ch St Jean Belle Terre Chard,749.5,266968.48000000004,40.31784177728135,A
55,OuterSpace Vodka,743.04,267711.52,40.43005640709154,A
55,Glen Ellen Chard RSV,740.9,268452.42000000004,40.54194785200215,A
55,Solerno Blood Orange Liqueur,734.7900000000001,269187.21,40.652916558718125,A
55,Banfi Chianti Clsc RSV,733.48,269920.69,40.763687427948824,A
55,RumChata Liqueur,728.61,270649.3,40.87372282500149,A
55,Cupcake Chard,727.12,271376.42,40.98353320079228,A
55,Louis Latour 12 Marsannay Bl,719.64,272096.06,41.0922139396443,A
55,Paul Dolan 12 Cab Svgn,719.52,272815.58,41.200876555978596,A
55,T-Vine Petite Sirah Napa,719.52,273535.10000000003,41.309539172312896,A
55,Stolichnaya Ohranj,715.6899999999999,274250.79000000004,41.417623378289505,A
55,Casamigos Reposado,706.2900000000001,274957.08,41.5242879870436,A
55,Crown Royal Canadian Whisky,699.75,275656.83,41.62996491858118,A
55,Kim Crawford Svgn Bl Marlbro,698.61,276355.44,41.73546968620029,A
55,Noble Vines 337 Cab Svgn,695.4200000000001,277050.86,41.84049269688963,A
55,Lange Willamette Pnt Nr,693.67,277744.52999999997,41.94525142086201,A
55,Sambuca Romana,689.6,278434.12999999995,42.04939548944124,A
55,14 Hands Cab Svgn Wash,683.26,279117.38999999996,42.152582085000184,A
55,New Amsterdam Peach Vodka,679.32,279796.70999999996,42.255173657893515,A
55,Sebastiani Znfdl Sonoma Cnty,679.32,280476.02999999997,42.35776523078685,A
55,Carpineto Dogajolo Tuscan Rd,673.33,281149.36,42.45945218800329,A
55,Yellow Tail Cab Svgn Ausl,671.26,281820.62,42.56082653178881,A
55,Layer Cake Malbec Mendoza,671.07,282491.69,42.66217218158792,A
55,Capt Morgan Spiced Rum 100,667.75,283159.44,42.76301644172972,A
55,Korbel X Dry,663.5799999999999,283823.02,42.86323094438025,A
55,Borsao Tres Picos Garnacha,662.49,284485.51,42.96328083416136,A
55,Crown Royal Regal Apple,660.73,285146.24,43.0630649270157,A
55,Lagavulin Single Malt 16-Yr,657.91,285804.14999999997,43.16242314070329,A
55,Cannonball Cab Svgn Cal,657.53,286461.68,43.26172396641806,A
55,Evan Williams Black Label B,652.64,287114.32,43.360286299535154,A
55,Cakebread Cab Svgn,649.9,287764.22000000003,43.45843483516399,A
55,Pine Ridge Napa Vlly Cab Svg,647.88,288412.10000000003,43.55627830841097,A
55,Jaboulet Cotes du Rhone Par,646.75,289058.85000000003,43.65395112794928,A
55,Kraken Black Spiced Rum,643.6999999999999,289702.55000000005,43.75116333349517,A
55,La Marca Prosecco,640.54,290343.09,43.84789831274074,A
55,Leese-Fitch Cab Svgn,637.42,290980.51,43.944162106525205,A
55,Smirnoff 80 Proof Traveler,633.5,291614.01,44.0398338980637,A
55,M & R Sweet Vermouth,632.15,292246.16000000003,44.135301811277685,A
55,WhistlePig 10 Yr Old Rye,629.91,292876.07,44.230431437493955,A
55,Blantons Sgl Barrel Bourbon,626.89,293502.96,44.325104980347255,A
